Time (Seconds),Amplitude (Volts),,Time (Seconds),,,,Amplitude (Volts)
239,0.38668096,,,,,,-0.38668096
240,0.39589456,,,,,,-0.39589456
241,0.38651642,,,,,,-0.38651642
242,0.3789481,,,,,,-0.3789481
243,0.38733906,,,,,,-0.38733906
244,0.39507192,,,,,,-0.39507192
245,0.38371944,,,,,,-0.38371944
246,0.39112324,,,,,,-0.39112324
247,0.41053763,,,,,,-0.41053763
248,0.42633238,,,,,,-0.42633238
249,0.4288003,,,,,,-0.4288003
250,0.45068264,,,,,,-0.45068264
251,0.47717178,,,,,,-0.47717178
252,0.4881952,,,,,,-0.4881952
253,0.4766782,,,,,,-0.4766782
254,0.46779364,,,,,,-0.46779364
255,0.4745393,,,,,,-0.4745393
256,0.4750329,,,,,,-0.4750329
257,0.47190687,,,,,,-0.47190687
258,0.4659838,,,,,,-0.4659838
259,0.46400946,,,,,,-0.46400946
260,0.4482147,,,,,,-0.4482147
261,0.44097543,,,,,,-0.44097543
262,0.43817845,,,,,,-0.43817845
263,0.43636864,,,,,,-0.43636864
264,0.4429498,,,,,,-0.4429498
265,0.464174,,,,,,-0.464174
266,0.46384495,,,,,,-0.46384495
267,0.4715778,,,,,,-0.4715778
268,0.48572728,,,,,,-0.48572728
269,0.48589182,,,,,,-0.48589182
270,0.47141328,,,,,,-0.47141328
271,0.47684273,,,,,,-0.47684273
272,0.48720804,,,,,,-0.48720804
273,0.47223592,,,,,,-0.47223592
274,0.47519743,,,,,,-0.47519743
275,0.48391747,,,,,,-0.48391747
276,0.48885334,,,,,,-0.48885334
277,0.4972443,,,,,,-0.4972443
278,0.50283825,,,,,,-0.50283825
279,0.5030028,,,,,,-0.5030028
280,0.518304,,,,,,-0.518304
281,0.5240625,,,,,,-0.5240625
282,0.53015006,,,,,,-0.53015006
283,0.52537876,,,,,,-0.52537876
284,0.5359086,,,,,,-0.5359086
285,0.5357441,,,,,,-0.5357441
286,0.5421607,,,,,,-0.5421607
287,0.54594487,,,,,,-0.54594487
288,0.54429954,,,,,,-0.54429954
289,0.56091696,,,,,,-0.56091696
290,0.5854318,,,,,,-0.5854318
291,0.5729276,,,,,,-0.5729276
292,0.5418316,,,,,,-0.5418316
293,0.53673124,,,,,,-0.53673124
294,0.5549939,,,,,,-0.5549939
295,0.5357441,,,,,,-0.5357441
296,0.53952825,,,,,,-0.53952825
297,0.532618,,,,,,-0.532618
