Time (Seconds),Amplitude (Volts),,Time (Seconds)
594,0.5904514,,
595,0.6103592,,
596,0.54783875,,
597,0.36126438,,
598,0.24856281,,
599,0.22668059,,
600,0.26304126,,
601,0.34744406,,
602,0.42032984,,
603,0.48400205,,
604,0.5106555,,
605,0.53006977,,
606,0.4866345,,
607,0.32046148,,
608,0.17107014,,
609,0.12944455,,
610,0.18916823,,
611,0.2549794,,
612,0.27176124,,
613,0.32671353,,
614,0.35221535,,
615,0.33724332,,
616,0.30252796,,
617,0.17287995,,
618,-0.006949267,,
619,-0.06831831,,
620,0.001935257,,
621,0.07087256,,
622,0.091274045,,
623,0.16432449,,
624,0.17600599,,
625,0.15182036,,
626,0.12072457,,
627,0.007364688,,
628,-0.12294171,,
629,-0.14564663,,
630,-0.077860944,,
631,0.005719405,,
632,0.05392616,,
633,0.12631851,,
634,0.17238636,,
635,0.17008297,,
636,0.124179654,,
637,-0.008100964,,
638,-0.12162548,,
639,-0.15255682,,
640,-0.09217491,,
641,0.003580539,,
642,0.072682366,,
643,0.11513061,,
644,0.1332287,,
645,0.13651925,,
646,0.08173141,,
647,-0.089542456,,
648,-0.20421875,,
649,-0.23251764,,
650,-0.20207988,,
651,-0.12277718,,
652,-0.070457175,,
653,-0.02899605,,
654,0.01081978,,
655,0.026779013,,
656,-0.010897944,,
657,-0.17789419,,
658,-0.27858564,,
659,-0.31313664,,
660,-0.28467318,,
661,-0.20767385,,
662,-0.16440287,,
663,-0.10451453,,
664,-0.06124359,,
665,-0.03459001,,
666,-0.08213868,,
667,-0.22741726,,
668,-0.35805297,,
669,-0.37253147,,
670,-0.2789147,,
671,-0.20240894,,
672,-0.1611123,,
673,-0.074076794,,
674,-0.036728878,,
675,-0.050055668,,
676,-0.09826246,,
677,-0.21129347,,
678,-0.35459787,,
679,-0.3708862,,
680,-0.29306415,,
681,-0.21902631,,
682,-0.17049041,,
683,-0.09020057,,
684,-0.07753189,,
685,-0.095630005,,
686,-0.13840738,,
687,-0.25851315,,
688,-0.37582207,,
689,-0.3886553,,
690,-0.34028387,,
691,-0.26673958,,
692,-0.19056289,,
693,-0.13906549,,
694,-0.1101085,,
695,-0.082632266,,
696,-0.103362836,,
697,-0.2293916,,
698,-0.33436084,,
699,-0.36216617,,
700,-0.29289964,,
701,-0.19911836,,
702,-0.12211907,,
703,-0.078025475,,
704,-0.046106987,,
705,-0.019782469,,
706,-0.05351076,,
707,-0.20142177,,
708,-0.29438037,,
709,-0.3100106,,
710,-0.25620976,,
711,-0.13692662,,
712,-0.06404057,,
713,-0.015998319,,
714,0.020197887,,
715,0.027766183,,
716,-0.03261567,,
717,-0.21507762,,
718,-0.35393974,,
719,-0.39178133,,
720,-0.338145,,
721,-0.25045127,,
722,-0.18743685,,
723,-0.11389265,,
724,-0.082632266,,
725,-0.066673025,,
726,-0.10435001,,
727,-0.24650258,,
728,-0.37582207,,
729,-0.3606854,,
730,-0.28138262,,
731,-0.22429122,,
732,-0.19681497,,
733,-0.11915756,,
734,-0.07753189,,
735,-0.08839076,,
736,-0.15551834,,
737,-0.28928,,
738,-0.4103731,,
739,-0.40938592,,
740,-0.3335382,,
741,-0.26492977,,
742,-0.22692367,,
743,-0.17081948,,
744,-0.15486021,,
745,-0.1663772,,
746,-0.19599232,,
747,-0.32596987,,
748,-0.44443056,,
749,-0.44920188,,
750,-0.38339037,,
751,-0.31511098,,
752,-0.2512739,,
753,-0.20586403,,
754,-0.16868061,,
755,-0.15551834,,
756,-0.23004971,,
757,-0.37763187,,
758,-0.47552648,,
759,-0.4595672,,
760,-0.39457834,,
761,-0.31313664,,
762,-0.2489705,,
763,-0.1946761,,
764,-0.1617704,,
765,-0.11833492,,
766,-0.16423833,,
767,-0.34176463,,
768,-0.43933016,,
769,-0.45150527,,
770,-0.40708253,,
771,-0.34587783,,
772,-0.28862187,,
773,-0.25226107,,
774,-0.21079989,,
775,-0.17772967,,
776,-0.24173124,,
777,-0.41086668,,
778,-0.523898,,
779,-0.51682323,,
780,-0.4362041,,
781,-0.3856938,,
782,-0.3692409,,
783,-0.30984607,,
784,-0.28138262,,
785,-0.29059622,,
786,-0.3305767,,
787,-0.46861628,,
788,-0.6096176,,
789,-0.6143889,,
790,-0.53623766,,
791,-0.4612125,,
792,-0.4006659,,
793,-0.32695705,,
794,-0.3001389,,
795,-0.30441663,,
796,-0.35278803,,
797,-0.49181485,,
798,-0.60204923,,
799,-0.5997458,,
800,-0.5217591,,
801,-0.4551249,,
802,-0.41530895,,
803,-0.3610145,,
804,-0.34785217,,
805,-0.31873062,,
806,-0.37022808,,
807,-0.51583606,,
808,-0.62475425,,
809,-0.6296901,,
810,-0.57391477,,
811,-0.47881708,,
812,-0.43209088,,
813,-0.39737532,,
814,-0.3577239,,
815,-0.32876685,,
816,-0.39112324,,
817,-0.5207719,,
818,-0.5829639,,
819,-0.57753444,,
820,-0.52208817,,
821,-0.44212714,,
822,-0.3800998,,
823,-0.32695705,,
824,-0.28977358,,
825,-0.2616392,,
826,-0.33682877,,
827,-0.5000413,,
828,-0.59793603,,
829,-0.5852673,,
830,-0.49971223,,
831,-0.4154735,,
832,-0.35673672,,
833,-0.27973732,,
834,-0.24469276,,
835,-0.23630181,,
836,-0.29257056,,
837,-0.46680647,,
838,-0.60139114,,
839,-0.6132372,,
840,-0.5586136,,
841,-0.52291083,,
842,-0.4852337,,
843,-0.41317007,,
844,-0.38898435,,
845,-0.3766447,,
846,-0.42271274,,
847,-0.5421607,,
848,-0.65140796,,
849,-0.62771577,,
850,-0.5419962,,
851,-0.47190687,,
852,-0.43225542,,
853,-0.36364692,,
854,-0.34883934,,
855,-0.35509145,,
856,-0.40576628,,
857,-0.5291629,,
858,-0.63281614,,
859,-0.62162817,,
860,-0.521101,,
861,-0.4315973,,
862,-0.3743413,,
863,-0.31593361,,
864,-0.27068827,,
865,-0.2443637,,
866,-0.28450868,,
867,-0.38964248,,
868,-0.4401528,,
869,-0.43768486,,
870,-0.34192917,,
871,-0.20471233,,
872,-0.09464283,,
873,-0.008100964,,
874,0.07597293,,
875,0.13487399,,
876,0.08535103,,
877,-0.053839818,,
878,-0.11290548,,
879,-0.08987151,,
880,-0.006455682,,
881,0.11940835,,
882,0.21631533,,
883,0.3092736,,
884,0.35715118,,
885,0.38133678,,
886,0.34695047,,
887,0.23572963,,
888,0.15626262,,
889,0.16975392,,
890,0.24823375,,
891,0.33724332,,
892,0.39087936,,
893,0.45438707,,
894,0.471827,,
895,0.46919456,,
896,0.41638118,,
897,0.2796586,,
898,0.18110636,,
899,0.21680892,,
900,0.30960265,,
901,0.36570662,,
902,0.4259238,,
903,0.5063778,,
904,0.51921093,,
905,0.50983286,,
906,0.4438573,,
907,0.29249176,,
908,0.1867003,,
909,0.21878326,,
910,0.30631208,,
911,0.3780462,,
912,0.44122484,,
913,0.51378155,,
914,0.55902666,,
915,0.5618236,,
916,0.4884443,,
917,0.3666938,,
918,0.29463062,,
919,0.3158547,,
920,0.38051412,,
921,0.45372897,,
922,0.50506157,,
923,0.5767956,,
924,0.6156241,,
925,0.6092075,,
926,0.5111491,,
927,0.36175796,,
928,0.28475896,,
929,0.30137625,,
930,0.35386062,,
931,0.42082343,,
932,0.4657395,,
933,0.5086812,,
934,0.5414222,,
935,0.54833233,,
936,0.4759402,,
937,0.33197844,,
938,0.23655227,,
939,0.24115905,,
940,0.3194743,,
941,0.4033835,,
942,0.4654104,,
943,0.5032518,,
944,0.52677923,,
945,0.52266604,,
946,0.4302015,,
947,0.26616728,,
948,0.16119847,,
949,0.17979012,,
950,0.2615605,,
951,0.31190604,,
952,0.36044174,,
953,0.40091556,,
954,0.41210344,,
955,0.4172038,,
956,0.3253973,,
