Time (Seconds),Amplitude (Volts),Time (Seconds)
731,0.0705435,
732,0.04224466,
733,0.004732236,
734,-0.015669262,
735,-0.01040436,
736,0.002264313,
737,0.03500542,
738,0.083705746,
739,0.112662695,
740,0.13487399,
741,0.12878644,
742,0.08057971,
743,0.0313858,
744,0.006377518,
745,0.011642421,
746,0.036321647,
747,0.07218878,
748,0.114801556,
749,0.14161962,
750,0.16415997,
751,0.1572498,
752,0.113320805,
753,0.060342755,
754,0.023817506,
755,0.020362414,
756,0.053103518,
757,0.09209668,
758,0.11792759,
759,0.12829286,
760,0.13800001,
761,0.13289964,
762,0.10015856,
763,0.057710305,
764,0.021514112,
765,0.020197887,
766,0.050471067,
767,0.08568009,
768,0.12598947,
769,0.16712147,
770,0.20233046,
771,0.20364669,
772,0.17732221,
773,0.13816454,
774,0.1050944,
775,0.10641062,
776,0.13026719,
777,0.16909581,
778,0.22602248,
779,0.27373558,
780,0.2992374,
781,0.29857928,
782,0.25777638,
783,0.21351837,
784,0.1885101,
785,0.19673651,
786,0.22585796,
787,0.27373558,
788,0.32046148,
789,0.3541897,
790,0.37376848,
791,0.37656546,
792,0.34168556,
793,0.2980857,
794,0.2757099,
795,0.28344274,
796,0.31009623,
797,0.3484312,
798,0.38561448,
799,0.40256086,
800,0.4206589,
801,0.41687477,
802,0.3815013,
803,0.34069842,
804,0.31799358,
805,0.32802975,
806,0.35567042,
807,0.3951571,
808,0.4325049,
809,0.4492867,
810,0.465904,
811,0.45784214,
812,0.4306951,
813,0.39729595,
814,0.36636475,
815,0.36998436,
816,0.39614427,
817,0.43036604,
818,0.46392968,
819,0.4968352,
820,0.52826,
821,0.5363218,
822,0.5154268,
823,0.48466015,
824,0.44829956,
825,0.44566712,
826,0.4736368,
827,0.50588423,
828,0.5496486,
829,0.5838703,
830,0.6083849,
831,0.5970325,
832,0.5619881,
833,0.52085626,
834,0.49798688,
835,0.5024291,
836,0.5330313,
837,0.5800862,
838,0.61167544,
839,0.63141876,
840,0.64968127,
841,0.64885867,
842,0.60772675,
843,0.55507797,
844,0.5378026,
845,0.54767424,
846,0.5746567,
847,0.61101735,
848,0.64227754,
849,0.66383064,
850,0.6832449,
851,0.6822577,
852,0.6315833,
853,0.5754794,
854,0.5593557,
855,0.5690628,
856,0.5906159,
857,0.6143079,
858,0.62829274,
859,0.6384934,
860,0.65478164,
861,0.6475424,
862,0.60229737,
863,0.5537618,
864,0.52513397,
865,0.5239823,
866,0.546029,
867,0.5802507,
868,0.6129917,
869,0.6394806,
870,0.65856576,
871,0.6439228,
872,0.59834874,
873,0.54849684,
874,0.5057197,
875,0.50604874,
876,0.54257387,
877,0.56889826,
878,0.5947291,
879,0.6256603,
880,0.648036,
881,0.6340512,
882,0.5886416,
883,0.5331958,
884,0.4932156,
885,0.492722,
886,0.51740116,
887,0.53994143,
888,0.5575459,
889,0.57778275,
890,0.6037781,
891,0.59390646,
892,0.5366509,
893,0.47528207,
894,0.44846407,
895,0.4533999,
896,0.46837193,
897,0.49568352,
898,0.52924716,
899,0.54849684,
900,0.5534327,
901,0.5333603,
902,0.4688655,
903,0.41440684,
904,0.39137295,
905,0.39597973,
906,0.40634498,
907,0.4338211,
908,0.46211988,
909,0.47873718,
910,0.49173486,
911,0.48153412,
912,0.42510113,
913,0.3696553,
914,0.34514067,
915,0.3482667,
916,0.36109984,
917,0.3874243,
918,0.42115247,
919,0.43760526,
920,0.44171843,
921,0.4237849,
922,0.3821594,
923,0.32852334,
924,0.2957823,
925,0.30006003,
926,0.32506827,
927,0.3423437,
928,0.36406136,
929,0.3867662,
930,0.4012446,
931,0.38660166,
932,0.34678593,
933,0.2887076,
934,0.24395603,
935,0.2510307,
936,0.2857461,
937,0.30614758,
938,0.3281943,
939,0.35221535,
940,0.3660357,
941,0.35139272,
942,0.30729926,
943,0.24938545,
944,0.20660819,
945,0.20463385,
946,0.23408435,
947,0.26995143,
948,0.29627588,
949,0.30631208,
950,0.32013243,
951,0.30483136,
952,0.24708205,
953,0.19180067,
954,0.17057656,
955,0.17682862,
956,0.1919652,
957,0.2243772,
958,0.2533341,
959,0.26633182,
960,0.27900046,
961,0.26419297,
962,0.20578554,
963,0.15445282,
964,0.13273512,
965,0.13800001,
966,0.14885886,
967,0.1837388,
968,0.21598628,
969,0.23293266,
970,0.24971451,
971,0.22997116,
972,0.17798032,
973,0.12598947,
974,0.09933592,
975,0.09752611,
976,0.1208891,
977,0.1560981,
978,0.1837388,
979,0.2131893,
980,0.23589416,
981,0.21796061,
982,0.16646336,
983,0.11595325,
984,0.08502197,
985,0.08962876,
986,0.10953666,
987,0.13125436,
988,0.1631728,
989,0.19574934,
990,0.22075759,
991,0.19953348,
992,0.15478188,
993,0.09999403,
994,0.061988037,
995,0.06922728,
996,0.091274045,
997,0.11940835,
998,0.1531366,
999,0.19130708,
1000,0.20940517,
1001,0.18702936,
1002,0.13882266,
1003,0.08864159,
1004,0.060342755,
1005,0.05738125,
1006,0.076466516,
1007,0.11430797,
1008,0.15511093,
1009,0.18061277,
1010,0.19788821,
1011,0.17715769,
