Time (Seconds),Amplitude (Volts),,Time (Seconds),,,Amplitude (Volts)
335,0.14465946,,,,,-0.14465946
336,0.124093406,,,,,-0.124093406
337,0.10533718,,,,,-0.10533718
338,0.10385642,,,,,-0.10385642
339,0.0915168,,,,,-0.0915168
340,0.089542456,,,,,-0.089542456
341,0.10204661,,,,,-0.10204661
342,0.099414155,,,,,-0.099414155
343,0.10615982,,,,,-0.10615982
344,0.11455076,,,,,-0.11455076
345,0.111753784,,,,,-0.111753784
346,0.113234535,,,,,-0.113234535
347,0.11372812,,,,,-0.11372812
348,0.11208284,,,,,-0.11208284
349,0.11849944,,,,,-0.11849944
350,0.1135636,,,,,-0.1135636
351,0.12689039,,,,,-0.12689039
352,0.12985191,,,,,-0.12985191
353,0.12886474,,,,,-0.12886474
354,0.12376435,,,,,-0.12376435
355,0.13133265,,,,,-0.13133265
356,0.14252059,,,,,-0.14252059
357,0.15140513,,,,,-0.15140513
358,0.13906549,,,,,-0.13906549
359,0.14071077,,,,,-0.14071077
360,0.13445869,,,,,-0.13445869
361,0.11208284,,,,,-0.11208284
362,0.11158925,,,,,-0.11158925
363,0.116525106,,,,,-0.116525106
364,0.11389265,,,,,-0.11389265
365,0.10089491,,,,,-0.10089491
366,0.09760434,,,,,-0.09760434
367,0.10040133,,,,,-0.10040133
368,0.109450385,,,,,-0.109450385
369,0.11504435,,,,,-0.11504435
370,0.11520888,,,,,-0.11520888
371,0.093326606,,,,,-0.093326606
372,0.08230321,,,,,-0.08230321
373,0.0717734,,,,,-0.0717734
374,0.058940195,,,,,-0.058940195
375,0.041006614,,,,,-0.041006614
376,0.028831521,,,,,-0.028831521
377,0.039032273,,,,,-0.039032273
378,0.052688118,,,,,-0.052688118
379,0.06601491,,,,,-0.06601491
380,0.065850385,,,,,-0.065850385
381,0.067166604,,,,,-0.067166604
382,0.080986984,,,,,-0.080986984
383,0.08213868,,,,,-0.08213868
384,0.08691,,,,,-0.08691
385,0.08625189,,,,,-0.08625189
386,0.0717734,,,,,-0.0717734
387,0.07753189,,,,,-0.07753189
388,0.106488876,,,,,-0.106488876
389,0.10517265,,,,,-0.10517265
390,0.091845855,,,,,-0.091845855
391,0.102704726,,,,,-0.102704726
392,0.10467906,,,,,-0.10467906
393,0.10303378,,,,,-0.10303378
394,0.10303378,,,,,-0.10303378
395,0.11060208,,,,,-0.11060208
396,0.09776887,,,,,-0.09776887
397,0.0903651,,,,,-0.0903651
398,0.105501704,,,,,-0.105501704
399,0.10517265,,,,,-0.10517265
400,0.103362836,,,,,-0.103362836
401,0.10418548,,,,,-0.10418548
402,0.08773264,,,,,-0.08773264
403,0.08658095,,,,,-0.08658095
404,0.09135227,,,,,-0.09135227
405,0.071115285,,,,,-0.071115285
406,0.065850385,,,,,-0.065850385
407,0.05828208,,,,,-0.05828208
408,0.056801327,,,,,-0.056801327
409,0.06371152,,,,,-0.06371152
410,0.07078623,,,,,-0.07078623
411,0.06798925,,,,,-0.06798925
412,0.068153776,,,,,-0.068153776
413,0.08082245,,,,,-0.08082245
414,0.08230321,,,,,-0.08230321
415,0.059762836,,,,,-0.059762836
416,0.06453416,,,,,-0.06453416
417,0.08065793,,,,,-0.08065793
418,0.08361944,,,,,-0.08361944
419,0.11372812,,,,,-0.11372812
420,0.112411894,,,,,-0.112411894
421,0.109614916,,,,,-0.109614916
422,0.11800586,,,,,-0.11800586
423,0.1310036,,,,,-0.1310036
424,0.12080284,,,,,-0.12080284
425,0.118663974,,,,,-0.118663974
426,0.11422171,,,,,-0.11422171
427,0.12359983,,,,,-0.12359983
428,0.12689039,,,,,-0.12689039
429,0.11076661,,,,,-0.11076661
430,0.104843594,,,,,-0.104843594
431,0.09003604,,,,,-0.09003604
432,0.10369189,,,,,-0.10369189
433,0.10599529,,,,,-0.10599529
434,0.091845855,,,,,-0.091845855
435,0.09694623,,,,,-0.09694623
436,0.09760434,,,,,-0.09760434
437,0.09760434,,,,,-0.09760434
438,0.09842699,,,,,-0.09842699
439,0.08378397,,,,,-0.08378397
440,0.07226699,,,,,-0.07226699
441,0.07835453,,,,,-0.07835453
442,0.06782472,,,,,-0.06782472
443,0.061408117,,,,,-0.061408117
444,0.05071378,,,,,-0.05071378
445,0.05054925,,,,,-0.05054925
446,0.035083596,,,,,-0.035083596
447,0.031793028,,,,,-0.031793028
448,0.0706217,,,,,-0.0706217
449,0.08230321,,,,,-0.08230321
450,0.08674548,,,,,-0.08674548
451,0.11274095,,,,,-0.11274095
452,0.11290548,,,,,-0.11290548
453,0.09398472,,,,,-0.09398472
454,0.0967817,,,,,-0.0967817
455,0.07950623,,,,,-0.07950623
456,0.07226699,,,,,-0.07226699
457,0.049233027,,,,,-0.049233027
458,0.04298095,,,,,-0.04298095
459,0.03623529,,,,,-0.03623529
460,0.04018397,,,,,-0.04018397
461,0.033109255,,,,,-0.033109255
462,0.034260955,,,,,-0.034260955
463,0.038045105,,,,,-0.038045105
464,0.04298095,,,,,-0.04298095
465,0.044461705,,,,,-0.044461705
466,0.039361328,,,,,-0.039361328
467,0.024718314,,,,,-0.024718314
468,0.032944728,,,,,-0.032944728
469,0.041006614,,,,,-0.041006614
470,0.06321793,,,,,-0.06321793
471,0.058117554,,,,,-0.058117554
472,0.055156045,,,,,-0.055156045
473,0.07605114,,,,,-0.07605114
474,0.071115285,,,,,-0.071115285
475,0.06469868,,,,,-0.06469868
476,0.065027736,,,,,-0.065027736
477,0.04890397,,,,,-0.04890397
478,0.07210246,,,,,-0.07210246
479,0.07851906,,,,,-0.07851906
480,0.0804934,,,,,-0.0804934
481,0.054991513,,,,,-0.054991513
482,0.058775663,,,,,-0.058775663
483,0.06864736,,,,,-0.06864736
484,0.058940195,,,,,-0.058940195
485,0.052852646,,,,,-0.052852646
486,0.052688118,,,,,-0.052688118
487,0.055649627,,,,,-0.055649627
488,0.059433777,,,,,-0.059433777
489,0.06914095,,,,,-0.06914095
490,0.08444208,,,,,-0.08444208
491,0.086416416,,,,,-0.086416416
492,0.07654472,,,,,-0.07654472
493,0.063546985,,,,,-0.063546985
494,0.055320572,,,,,-0.055320572
495,0.051865477,,,,,-0.051865477
496,0.050384723,,,,,-0.050384723
497,0.005303985,,,,,-0.005303985
498,0.029160578,,,,,-0.029160578
499,0.03639982,,,,,-0.03639982
500,0.041664723,,,,,-0.041664723
501,0.046271518,,,,,-0.046271518
502,0.062888876,,,,,-0.062888876
503,0.054826986,,,,,-0.054826986
504,0.08427755,,,,,-0.08427755
505,0.089542456,,,,,-0.089542456
506,0.104843594,,,,,-0.104843594
507,0.09694623,,,,,-0.09694623
508,0.09842699,,,,,-0.09842699
509,0.115537934,,,,,-0.115537934
510,0.107146986,,,,,-0.107146986
511,0.112576425,,,,,-0.112576425
512,0.12442247,,,,,-0.12442247
513,0.09201038,,,,,-0.09201038
514,0.10796963,,,,,-0.10796963
515,0.118663974,,,,,-0.118663974
516,0.109450385,,,,,-0.109450385
517,0.122448124,,,,,-0.122448124
518,0.12524511,,,,,-0.12524511
519,0.14811455,,,,,-0.14811455
520,0.15107606,,,,,-0.15107606
521,0.1379138,,,,,-0.1379138
522,0.15403758,,,,,-0.15403758
523,0.13626851,,,,,-0.13626851
524,0.14087531,,,,,-0.14087531
525,0.14614022,,,,,-0.14614022
526,0.104843594,,,,,-0.104843594
527,0.11093114,,,,,-0.11093114
528,0.08312585,,,,,-0.08312585
529,0.08131604,,,,,-0.08131604
530,0.10040133,,,,,-0.10040133
531,0.06947,,,,,-0.06947
532,0.06979906,,,,,-0.06979906
533,0.08987151,,,,,-0.08987151
534,0.065850385,,,,,-0.065850385
535,0.06321793,,,,,-0.06321793
536,0.081151515,,,,,-0.081151515
537,0.05745944,,,,,-0.05745944
538,0.06042095,,,,,-0.06042095
539,0.09776887,,,,,-0.09776887
540,0.084935665,,,,,-0.084935665
541,0.12837115,,,,,-0.12837115
542,0.14646927,,,,,-0.14646927
543,0.12475152,,,,,-0.12475152
544,0.13955908,,,,,-0.13955908
545,0.12442247,,,,,-0.12442247
546,0.1112602,,,,,-0.1112602
547,0.1211319,,,,,-0.1211319
548,0.16078325,,,,,-0.16078325
549,0.13890097,,,,,-0.13890097
550,0.14646927,,,,,-0.14646927
551,0.122612655,,,,,-0.122612655
552,0.12080284,,,,,-0.12080284
553,0.12968737,,,,,-0.12968737
554,0.12935832,,,,,-0.12935832
555,0.13528134,,,,,-0.13528134
556,0.1385719,,,,,-0.1385719
557,0.10352737,,,,,-0.10352737
558,0.14515305,,,,,-0.14515305
559,0.12359983,,,,,-0.12359983
560,0.11586699,,,,,-0.11586699
561,0.109285854,,,,,-0.109285854
562,0.11422171,,,,,-0.11422171
563,0.09233944,,,,,-0.09233944
564,0.088884346,,,,,-0.088884346
565,0.08312585,,,,,-0.08312585
566,0.07226699,,,,,-0.07226699
567,0.058117554,,,,,-0.058117554
568,0.07835453,,,,,-0.07835453
569,0.118663974,,,,,-0.118663974
570,0.114057176,,,,,-0.114057176
571,0.1565055,,,,,-0.1565055
572,0.18793043,,,,,-0.18793043
573,0.19335987,,,,,-0.19335987
574,0.19895384,,,,,-0.19895384
575,0.2126097,,,,,-0.2126097
576,0.20092818,,,,,-0.20092818
577,0.22560745,,,,,-0.22560745
578,0.21803914,,,,,-0.21803914
579,0.19533421,,,,,-0.19533421
580,0.23844068,,,,,-0.23844068
581,0.222975,,,,,-0.222975
582,0.1854625,,,,,-0.1854625
583,0.21721649,,,,,-0.21721649
584,0.20125723,,,,,-0.20125723
585,0.2038897,,,,,-0.2038897
586,0.23004971,,,,,-0.23004971
587,0.23004971,,,,,-0.23004971
588,0.21803914,,,,,-0.21803914
589,0.24748974,,,,,-0.24748974
590,0.2553871,,,,,-0.2553871
591,0.2599939,,,,,-0.2599939
592,0.29141888,,,,,-0.29141888
593,0.28105357,,,,,-0.28105357
594,0.28286338,,,,,-0.28286338
595,0.29701284,,,,,-0.29701284
596,0.2754596,,,,,-0.2754596
597,0.29421586,,,,,-0.29421586
598,0.3197178,,,,,-0.3197178
599,0.31511098,,,,,-0.31511098
600,0.32416007,,,,,-0.32416007
601,0.34587783,,,,,-0.34587783
602,0.3065555,,,,,-0.3065555
603,0.33682877,,,,,-0.33682877
604,0.31494644,,,,,-0.31494644
605,0.3323865,,,,,-0.3323865
606,0.3462069,,,,,-0.3462069
607,0.31724986,,,,,-0.31724986
608,0.32235023,,,,,-0.32235023
609,0.3198823,,,,,-0.3198823
610,0.30820078,,,,,-0.30820078
611,0.35212994,,,,,-0.35212994
612,0.37746733,,,,,-0.37746733
613,0.3679247,,,,,-0.3679247
614,0.37812546,,,,,-0.37812546
615,0.3708862,,,,,-0.3708862
616,0.346865,,,,,-0.346865
617,0.32695705,,,,,-0.32695705
618,0.34176463,,,,,-0.34176463
619,0.3302476,,,,,-0.3302476
620,0.34028387,,,,,-0.34028387
621,0.32745063,,,,,-0.32745063
622,0.33847407,,,,,-0.33847407
623,0.33781594,,,,,-0.33781594
624,0.32070497,,,,,-0.32070497
625,0.35114276,,,,,-0.35114276
626,0.36298883,,,,,-0.36298883
627,0.3307412,,,,,-0.3307412
628,0.3909587,,,,,-0.3909587
629,0.36710203,,,,,-0.36710203
630,0.3100106,,,,,-0.3100106
631,0.35673672,,,,,-0.35673672
632,0.34242275,,,,,-0.34242275
633,0.36265975,,,,,-0.36265975
634,0.38026434,,,,,-0.38026434
635,0.3692409,,,,,-0.3692409
636,0.346865,,,,,-0.346865
637,0.38651642,,,,,-0.38651642
638,0.3416001,,,,,-0.3416001
639,0.3909587,,,,,-0.3909587
640,0.34933293,,,,,-0.34933293
641,0.35295257,,,,,-0.35295257
642,0.37351865,,,,,-0.37351865
643,0.3323865,,,,,-0.3323865
644,0.3685828,,,,,-0.3685828
645,0.36710203,,,,,-0.36710203
646,0.31182042,,,,,-0.31182042
647,0.38487113,,,,,-0.38487113
648,0.3261344,,,,,-0.3261344
649,0.34538424,,,,,-0.34538424
650,0.34949747,,,,,-0.34949747
651,0.33995482,,,,,-0.33995482
652,0.349662,,,,,-0.349662
653,0.30869436,,,,,-0.30869436
654,0.338145,,,,,-0.338145
655,0.30474567,,,,,-0.30474567
656,0.27973732,,,,,-0.27973732
657,0.3480167,,,,,-0.3480167
658,0.30112606,,,,,-0.30112606
659,0.35410428,,,,,-0.35410428
660,0.33452538,,,,,-0.33452538
661,0.3463714,,,,,-0.3463714
662,0.32416007,,,,,-0.32416007
663,0.32251477,,,,,-0.32251477
664,0.3713798,,,,,-0.3713798
665,0.3261344,,,,,-0.3261344
666,0.36545676,,,,,-0.36545676
667,0.36726657,,,,,-0.36726657
668,0.3462069,,,,,-0.3462069
669,0.35295257,,,,,-0.35295257
670,0.3267925,,,,,-0.3267925
671,0.321034,,,,,-0.321034
672,0.36595035,,,,,-0.36595035
673,0.29948077,,,,,-0.29948077
674,0.3271216,,,,,-0.3271216
675,0.29470944,,,,,-0.29470944
676,0.31214947,,,,,-0.31214947
677,0.30869436,,,,,-0.30869436
678,0.2710173,,,,,-0.2710173
679,0.28516677,,,,,-0.28516677
680,0.27003014,,,,,-0.27003014
681,0.30342945,,,,,-0.30342945
682,0.25390637,,,,,-0.25390637
683,0.2588422,,,,,-0.2588422
684,0.254729,,,,,-0.254729
685,0.20701574,,,,,-0.20701574
686,0.27003014,,,,,-0.27003014
687,0.21441951,,,,,-0.21441951
688,0.2103063,,,,,-0.2103063
689,0.21129347,,,,,-0.21129347
690,0.17197117,,,,,-0.17197117
691,0.23153047,,,,,-0.23153047
692,0.21573575,,,,,-0.21573575
693,0.23580822,,,,,-0.23580822
694,0.26887846,,,,,-0.26887846
695,0.26542336,,,,,-0.26542336
696,0.30441663,,,,,-0.30441663
697,0.29651925,,,,,-0.29651925
698,0.29076076,,,,,-0.29076076
699,0.2858249,,,,,-0.2858249
700,0.27562413,,,,,-0.27562413
701,0.25275466,,,,,-0.25275466
702,0.22856897,,,,,-0.22856897
703,0.24880597,,,,,-0.24880597
704,0.22248141,,,,,-0.22248141
705,0.20175081,,,,,-0.20175081
706,0.18529798,,,,,-0.18529798
707,0.2126097,,,,,-0.2126097
708,0.2050414,,,,,-0.2050414
709,0.23811162,,,,,-0.23811162
710,0.23251764,,,,,-0.23251764
711,0.22182329,,,,,-0.22182329
712,0.2512739,,,,,-0.2512739
713,0.24535087,,,,,-0.24535087
714,0.22100066,,,,,-0.22100066
715,0.24946408,,,,,-0.24946408
716,0.22215235,,,,,-0.22215235
717,0.22823991,,,,,-0.22823991
718,0.26492977,,,,,-0.26492977
719,0.23630181,,,,,-0.23630181
720,0.23482105,,,,,-0.23482105
721,0.274966,,,,,-0.274966
722,0.25686786,,,,,-0.25686786
723,0.26854938,,,,,-0.26854938
724,0.24814786,,,,,-0.24814786
725,0.27924377,,,,,-0.27924377
726,0.24995767,,,,,-0.24995767
727,0.21902631,,,,,-0.21902631
728,0.24962862,,,,,-0.24962862
729,0.22215235,,,,,-0.22215235
730,0.22182329,,,,,-0.22182329
731,0.25620976,,,,,-0.25620976
