Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,Time (Seconds),,,
0.506,-0.050903994,,,,,,,
0.508,-0.052163078,,,,,,,
0.51,-0.053461139,,,,,,,
0.512,-0.054797284,,,,,,,
0.514,-0.056171272,,,,,,,
0.516,-0.057583587,,,,,,,
0.518,-0.059035514,,,,,,,
0.52,-0.06052919,,,,,,,
0.522,-0.062067629,,,,,,,
0.524,-0.063654702,,,,,,,
0.526,-0.065295083,,,,,,,
0.528,-0.066994146,,,,,,,
0.53,-0.068757832,,,,,,,
0.532,-0.070592484,,,,,,,
0.534,-0.07250466,,,,,,,
0.536,-0.074500932,,,,,,,
0.538,-0.076587662,,,,,,,
0.54,-0.078770763,,,,,,,
0.542,-0.08105544,,,,,,,
0.544,-0.083445911,,,,,,,
0.546,-0.085945121,,,,,,,
0.548,-0.088554461,,,,,,,
0.55,-0.091273507,,,,,,,
0.552,-0.094099799,,,,,,,
0.554,-0.097028672,,,,,,,
0.556,-0.100053154,,,,,,,
0.558,-0.103163922,,,,,,,
0.56,-0.10634932,,,,,,,
0.562,-0.109595437,,,,,,,
0.564,-0.112886223,,,,,,,
0.566,-0.116203663,,,,,,,
0.568,-0.119527992,,,,,,,
0.57,-0.122837959,,,,,,,
0.572,-0.126111156,,,,,,,
0.574,-0.129324386,,,,,,,
0.576,-0.132454085,,,,,,,
0.578,-0.135476769,,,,,,,
0.58,-0.138369495,,,,,,,
0.582,-0.141110312,,,,,,,
0.584,-0.143678691,,,,,,,
0.586,-0.14605591,,,,,,,
0.588,-0.148225405,,,,,,,
0.59,-0.15017307,,,,,,,
0.592,-0.151887517,,,,,,,
0.594,-0.153360285,,,,,,,
0.596,-0.154586012,,,,,,,
0.598,-0.155562547,,,,,,,
0.6,-0.156291003,,,,,,,
0.602,-0.156775743,,,,,,,
0.604,-0.157024297,,,,,,,
0.606,-0.15704721,,,,,,,
0.608,-0.156857826,,,,,,,
0.61,-0.156472034,,,,,,,
0.612,-0.155907973,,,,,,,
0.614,-0.155185724,,,,,,,
0.616,-0.15432699,,,,,,,
0.618,-0.153354772,,,,,,,
0.62,-0.15229305,,,,,,,
0.622,-0.151166453,,,,,,,
0.624,-0.149999949,,,,,,,
0.626,-0.148818535,,,,,,,
0.628,-0.14764696,,,,,,,
0.63,-0.146509482,,,,,,,
0.632,-0.145429672,,,,,,,
0.634,-0.14443027,,,,,,,
0.636,-0.143533088,,,,,,,
0.638,-0.142758963,,,,,,,
0.64,-0.142127719,,,,,,,
0.642,-0.14165815,,,,,,,
0.644,-0.141367987,,,,,,,
0.646,-0.141273857,,,,,,,
0.648,-0.141391221,,,,,,,
0.65,-0.141734297,,,,,,,
0.652,-0.142315987,,,,,,,
0.654,-0.143147796,,,,,,,
0.656,-0.144239762,,,,,,,
0.658,-0.145600387,,,,,,,
0.66,-0.147236573,,,,,,,
0.662,-0.149153555,,,,,,,
0.664,-0.151354831,,,,,,,
0.666,-0.153842086,,,,,,,
0.668,-0.156615134,,,,,,,
0.67,-0.159671865,,,,,,,
0.672,-0.163008222,,,,,,,
0.674,-0.16661821,,,,,,,
0.676,-0.170493936,,,,,,,
0.678,-0.174625668,,,,,,,
0.68,-0.179001925,,,,,,,
0.682,-0.18360956,,,,,,,
0.684,-0.188433847,,,,,,,
0.686,-0.193458554,,,,,,,
0.688,-0.198666019,,,,,,,
0.69,-0.204037207,,,,,,,
0.692,-0.20955178,,,,,,,
0.694,-0.215188155,,,,,,,
0.696,-0.220923574,,,,,,,
0.698,-0.226734154,,,,,,,
0.7,-0.232594934,,,,,,,
0.702,-0.238479896,,,,,,,
0.704,-0.244361965,,,,,,,
0.706,-0.250212992,,,,,,,
0.708,-0.256003725,,,,,,,
0.71,-0.261703787,,,,,,,
0.712,-0.267281663,,,,,,,
0.714,-0.272704714,,,,,,,
0.716,-0.277939212,,,,,,,
0.718,-0.282950401,,,,,,,
0.72,-0.287702573,,,,,,,
0.722,-0.292159162,,,,,,,
0.724,-0.296282845,,,,,,,
0.726,-0.300035668,,,,,,,
0.728,-0.303379196,,,,,,,
0.73,-0.306274707,,,,,,,
0.732,-0.308683441,,,,,,,
0.734,-0.310566903,,,,,,,
0.736,-0.31188723,,,,,,,
0.738,-0.312607606,,,,,,,
0.74,-0.312692716,,,,,,,
0.742,-0.312109217,,,,,,,
0.744,-0.310826221,,,,,,,
0.746,-0.308815766,,,,,,,
0.748,-0.30605327,,,,,,,
0.75,-0.302517974,,,,,,,
0.752,-0.298193353,,,,,,,
0.754,-0.293067505,,,,,,,
0.756,-0.287133494,,,,,,,
0.758,-0.280389645,,,,,,,
0.76,-0.272839764,,,,,,,
0.762,-0.264493287,,,,,,,
0.764,-0.255365332,,,,,,,
0.766,-0.245476649,,,,,,,
0.768,-0.234853496,,,,,,,
0.77,-0.223527409,,,,,,,
0.772,-0.211534912,,,,,,,
0.774,-0.198917149,,,,,,,
0.776,-0.185719452,,,,,,,
0.778,-0.17199085,,,,,,,
0.78,-0.157783521,,,,,,,
0.782,-0.14315218,,,,,,,
0.784,-0.128153421,,,,,,,
0.786,-0.112845013,,,,,,,
0.788,-0.097285189,,,,,,,
0.79,-0.081531922,,,,,,,
0.792,-0.065642241,,,,,,,
0.794,-0.049671592,,,,,,,
0.796,-0.033673268,,,,,,,
0.798,-0.017697913,,,,,,,
0.8,-0.001793113,,,,,,,
0.802,0.013996938,,,,,,,
0.804,0.029631679,,,,,,,
0.806,0.045074345,,,,,,,
0.808,0.060292028,,,,,,,
0.81,0.075255653,,,,,,,
0.812,0.089939852,,,,,,,
0.814,0.104322756,,,,,,,
0.816,0.118385693,,,,,,,
0.818,0.132112842,,,,,,,
0.82,0.145490833,,,,,,,
0.822,0.158508341,,,,,,,
0.824,0.171155675,,,,,,,
0.826,0.183424387,,,,,,,
0.828,0.195306902,,,,,,,
0.83,0.206796175,,,,,,,
0.832,0.217885384,,,,,,,
0.834,0.228567647,,,,,,,
