Time (Seconds),Amplitude (Volts) [Filtered 0.3-30.0Hz],,,,Time (Seconds)
0.532,-0.031429938,,,,6.874
0.534,-0.034887322,,,,6.876
0.536,-0.038530682,,,,6.878
0.538,-0.042220666,,,,6.88
0.54,-0.04579932,,,,6.882
0.542,-0.049133638,,,,6.884
0.544,-0.052177057,,,,6.886
0.546,-0.054983594,,,,6.888
0.548,-0.057661563,,,,6.89
0.55,-0.060319553,,,,6.892
0.552,-0.063023781,,,,6.894
0.554,-0.065738989,,,,6.896
0.556,-0.068293609,,,,6.898
0.558,-0.070435207,,,,6.9
0.56,-0.071943518,,,,6.902
0.562,-0.072736109,,,,6.904
0.564,-0.072929189,,,,6.906
0.566,-0.072811236,,,,6.908
0.568,-0.072729597,,,,6.91
0.57,-0.072963681,,,,6.912
0.572,-0.073641301,,,,6.914
0.574,-0.074706146,,,,6.916
0.576,-0.075965611,,,,6.918
0.578,-0.077214997,,,,6.92
0.58,-0.078334981,,,,6.922
0.582,-0.079296473,,,,6.924
0.584,-0.08011676,,,,6.926
0.586,-0.080820226,,,,6.928
0.588,-0.081417284,,,,6.93
0.59,-0.081886525,,,,6.932
0.592,-0.082150983,,,,6.934
0.594,-0.082090455,,,,6.936
0.596,-0.08161317,,,,6.938
0.598,-0.080713151,,,,6.94
0.6,-0.079456581,,,,6.942
0.602,-0.07793866,,,,6.944
0.604,-0.076252043,,,,6.946
0.606,-0.074470658,,,,6.948
0.608,-0.072641217,,,,6.95
0.61,-0.070766442,,,,6.952
0.612,-0.068795391,,,,6.954
0.614,-0.066663593,,,,6.956
0.616,-0.064370647,,,,6.958
0.618,-0.062022274,,,,6.96
0.62,-0.059799824,,,,6.962
0.622,-0.05788733,,,,6.964
0.624,-0.056414953,,,,6.966
0.626,-0.055455885,,,,6.968
0.628,-0.055035464,,,,6.97
0.63,-0.055100766,,,,6.972
0.632,-0.055491983,,,,6.974
0.634,-0.055973703,,,,6.976
0.636,-0.056307556,,,,6.978
0.638,-0.056318884,,,,6.98
0.64,-0.055920516,,,,6.982
0.642,-0.055076975,,,,6.984
0.644,-0.053755304,,,,6.986
0.646,-0.051921658,,,,6.988
0.648,-0.049563075,,,,6.99
0.65,-0.046690716,,,,6.992
0.652,-0.043333346,,,,6.994
0.654,-0.039541389,,,,6.996
0.656,-0.035401543,,,,6.998
0.658,-0.031044203,,,,7
0.66,-0.026623849,,,,7.002
0.662,-0.022282166,,,,7.004
0.664,-0.018108071,,,,7.006
0.666,-0.014103444,,,,7.008
0.668,-0.010181301,,,,7.01
0.67,-0.006194517,,,,7.012
0.672,-0.001967167,,,,7.014
0.674,0.002672354,,,,7.016
0.676,0.007848167,,,,7.018
0.678,0.013588634,,,,7.02
0.68,0.019805444,,,,7.022
0.682,0.026334507,,,,7.024
0.684,0.033008661,,,,7.026
0.686,0.039695891,,,,7.028
0.688,0.046275155,,,,7.03
0.69,0.05258587,,,,7.032
0.692,0.058416757,,,,7.034
0.694,0.063552321,,,,7.036
0.696,0.067834561,,,,7.038
0.698,0.071195931,,,,7.04
0.7,0.073649095,,,,7.042
0.702,0.075248381,,,,7.044
0.704,0.076050657,,,,7.046
0.706,0.076090367,,,,7.048
0.708,0.075375299,,,,7.05
0.71,0.073901817,,,,7.052
0.712,0.071679125,,,,7.054
0.714,0.068760599,,,,7.056
0.716,0.065271045,,,,7.058
0.718,0.061407283,,,,7.06
0.72,0.057401363,,,,7.062
0.722,0.053454908,,,,7.064
0.724,0.049688096,,,,7.066
0.726,0.046140307,,,,7.068
0.728,0.042807442,,,,7.07
0.73,0.039695741,,,,7.072
0.732,0.036866672,,,,7.074
0.734,0.034428425,,,,7.076
0.736,0.032481023,,,,7.078
0.738,0.031064066,,,,7.08
0.74,0.030130532,,,,7.082
0.742,0.029552316,,,,7.084
0.744,0.029155856,,,,7.086
0.746,0.028769427,,,,7.088
0.748,0.028263997,,,,7.09
0.75,0.027589013,,,,7.092
0.752,0.026800795,,,,7.094
0.754,0.02605321,,,,7.096
0.756,0.025542936,,,,7.098
0.758,0.025456142,,,,7.1
0.76,0.025938072,,,,7.102
0.762,0.027048828,,,,7.104
0.764,0.028698286,,,,7.106
0.766,0.030615735,,,,7.108
0.768,0.032392239,,,,7.11
0.77,0.033571537,,,,7.112
0.772,0.033759172,,,,7.114
0.774,0.032728358,,,,7.116
0.776,0.030460009,,,,7.118
0.778,0.027074546,,,,7.12
0.78,0.022723565,,,,7.122
0.782,0.017531474,,,,7.124
0.784,0.011591003,,,,7.126
0.786,0.004973181,,,,7.128
0.788,-0.00225822,,,,7.13
0.79,-0.010007709,,,,7.132
0.792,-0.018094219,,,,7.134
0.794,-0.026231943,,,,7.136
0.796,-0.03406132,,,,7.138
0.798,-0.041213788,,,,7.14
0.8,-0.047411962,,,,7.142
0.802,-0.052567934,,,,7.144
0.804,-0.056797712,,,,7.146
0.806,-0.060347321,,,,7.148
0.808,-0.063492636,,,,7.15
0.81,-0.066445679,,,,7.152
0.812,-0.069306274,,,,7.154
0.814,-0.072095405,,,,7.156
0.816,-0.074814889,,,,7.158
0.818,-0.077457858,,,,7.16
0.82,-0.079989475,,,,7.162
0.822,-0.082357845,,,,7.164
0.824,-0.084530641,,,,7.166
0.826,-0.086505923,,,,7.168
0.828,-0.088287405,,,,7.17
0.83,-0.089856547,,,,7.172
0.832,-0.091165438,,,,7.174
0.834,-0.09216266,,,,7.176
0.836,-0.092838274,,,,7.178
0.838,-0.093234189,,,,7.18
0.84,-0.093401144,,,,7.182
0.842,-0.093365627,,,,7.184
0.844,-0.093151113,,,,7.186
0.846,-0.092808898,,,,7.188
0.848,-0.092416633,,,,7.19
0.85,-0.092062959,,,,7.192
0.852,-0.091821502,,,,7.194
0.854,-0.091710758,,,,7.196
0.856,-0.091693287,,,,7.198
0.858,-0.091735592,,,,7.2
0.86,-0.091849542,,,,7.202
0.862,-0.092061281,,,,7.204
0.864,-0.092365725,,,,7.206
0.866,-0.092729266,,,,7.208
0.868,-0.093120917,,,,7.21
0.87,-0.093509846,,,,7.212
0.872,-0.093806378,,,,7.214
0.874,-0.09381402,,,,7.216
0.876,-0.093261067,,,,7.218
0.878,-0.091879588,,,,7.22
0.88,-0.089471725,,,,7.222
0.882,-0.085962488,,,,7.224
0.884,-0.081453287,,,,7.226
0.886,-0.076234069,,,,7.228
0.888,-0.070712547,,,,7.23
0.89,-0.065316318,,,,7.232
0.892,-0.060435467,,,,7.234
0.894,-0.056380983,,,,7.236
0.896,-0.053333751,,,,7.238
0.898,-0.051329362,,,,7.24
0.9,-0.050312889,,,,7.242
0.902,-0.050223198,,,,7.244
0.904,-0.051035366,,,,7.246
0.906,-0.05273754,,,,7.248
0.908,-0.055270902,,,,7.25
0.91,-0.058465239,,,,7.252
0.912,-0.062013486,,,,7.254
0.914,-0.065525857,,,,7.256
0.916,-0.068627585,,,,7.258
0.918,-0.071027517,,,,7.26
0.92,-0.07253817,,,,7.262
0.922,-0.07305788,,,,7.264
0.924,-0.072537082,,,,7.266
0.926,-0.070969534,,,,7.268
0.928,-0.068404007,,,,7.27
0.93,-0.064923333,,,,7.272
0.932,-0.060593908,,,,7.274
0.934,-0.055444083,,,,7.276
0.936,-0.049490272,,,,7.278
0.938,-0.042782431,,,,7.28
0.94,-0.035427751,,,,7.282
0.942,-0.027571975,,,,7.284
0.944,-0.019370281,,,,7.286
0.946,-0.010985948,,,,7.288
0.948,-0.002604486,,,,7.29
0.95,0.005574128,,,,7.292
0.952,0.013373373,,,,7.294
0.954,0.020678703,,,,7.296
0.956,0.02745544,,,,7.298
0.958,0.033738881,,,,7.3
0.96,0.039586,,,,7.302
0.962,0.045011974,,,,7.304
0.964,0.049959207,,,,7.306
0.966,0.054314685,,,,7.308
0.968,0.057947969,,,,7.31
0.97,0.060734954,,,,7.312
0.972,0.062570306,,,,7.314
0.974,0.06338844,,,,7.316
0.976,0.063188578,,,,7.318
0.978,0.062048952,,,,7.32
0.98,0.060119085,,,,7.322
0.982,0.057580958,,,,7.324
0.984,0.054596892,,,,7.326
0.986,0.051286599,,,,7.328
0.988,0.047741936,,,,7.33
0.99,0.044047066,,,,7.332
0.992,0.040285743,,,,7.334
0.994,0.036550602,,,,7.336
0.996,0.032971203,,,,7.338
0.998,0.029735721,,,,7.34
1,0.027057999,,,,7.342
1.002,0.02510255,,,,7.344
1.004,0.023939496,,,,7.346
1.006,0.023559423,,,,7.348
1.008,0.02390242,,,,7.35
1.01,0.024856338,,,,7.352
1.012,0.026243273,,,,7.354
1.014,0.02784417,,,,7.356
1.016,0.029459116,,,,7.358
1.018,0.030946702,,,,7.36
1.02,0.032215171,,,,7.362
1.022,0.033187798,,,,7.364
1.024,0.033777072,,,,7.366
1.026,0.033886981,,,,7.368
1.028,0.033433863,,,,7.37
1.03,0.032365526,,,,7.372
1.032,0.030667697,,,,7.374
1.034,0.028363995,,,,7.376
1.036,0.025519521,,,,7.378
1.038,0.022240435,,,,7.38
1.04,0.018658179,,,,7.382
1.042,0.014902696,,,,7.384
1.044,0.011080799,,,,7.386
1.046,0.007262163,,,,7.388
1.048,0.003462253,,,,7.39
1.05,-0.000361437,,,,7.392
1.052,-0.004276687,,,,7.394
1.054,-0.008335879,,,,7.396
1.056,-0.012574849,,,,7.398
1.058,-0.017035392,,,,7.4
1.06,-0.021757931,,,,7.402
1.062,-0.026750694,,,,7.404
1.064,-0.031977486,,,,7.406
1.066,-0.037360928,,,,7.408
1.068,-0.042788284,,,,7.41
1.07,-0.04813514,,,,7.412
1.072,-0.053299236,,,,7.414
1.074,-0.05820802,,,,7.416
1.076,-0.062788113,,,,7.418
1.078,-0.066929106,,,,7.42
